time,cognitive_state
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Confused
22:58:07,Confused
22:58:07,Confused
22:58:07,Confused
22:58:08,Confused
22:58:08,Confused
22:58:08,Confused
22:58:08,Confused
22:58:08,Confused
22:58:08,Confused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:08,Focused
22:58:09,Focused
22:58:09,Confused
22:58:09,Confused
22:58:09,Confused
22:58:09,Confused
22:58:09,Confused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Confused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:09,Focused
22:58:10,Focused
22:58:10,Focused
22:58:10,Focused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Confused
22:58:10,Focused
22:58:10,Focused
22:58:10,Confused
22:58:10,Focused
22:58:10,Focused
22:58:10,Focused
22:58:10,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:11,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:12,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:13,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:14,Focused
22:58:15,Focused
22:58:15,Focused
22:58:15,Focused
22:58:15,Focused
22:58:15,Focused
22:58:15,Focused
22:58:15,Focused
22:58:15,Focused
22:58:15,Focused
22:58:15,Focused
22:58:15,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:17,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:18,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:19,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:20,Focused
22:58:21,Focused
22:58:21,Focused
22:58:21,Focused
22:58:21,Focused
22:58:21,Focused
22:58:21,Focused
22:58:21,Focused
22:58:21,Focused
22:58:21,Confused
22:58:21,Focused
22:58:21,Focused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:21,Confused
22:58:22,Confused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:22,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:23,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:25,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:26,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Focused
22:58:27,Confused
22:58:27,Confused
22:58:27,Focused
22:58:27,Confused
22:58:28,Confused
22:58:28,Confused
22:58:28,Confused
22:58:28,Confused
22:58:28,Confused
22:58:28,Confused
22:58:28,Confused
22:58:28,Confused
22:58:28,Confused
22:58:28,Confused
22:58:28,Confused
22:58:28,Confused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:28,Focused
22:58:29,Confused
22:58:29,Confused
22:58:29,Confused
22:58:29,Confused
22:58:29,Confused
22:58:29,Confused
22:58:29,Confused
22:58:29,Confused
22:58:29,Confused
22:58:29,Confused
22:58:29,Confused
22:58:29,Confused
22:58:29,Confused
22:58:29,Focused
22:58:29,Focused
22:58:29,Confused
22:58:29,Confused
22:58:29,Focused
22:58:29,Focused
22:58:29,Focused
22:58:29,Focused
22:58:29,Focused
22:58:29,Focused
22:58:29,Focused
22:58:29,Focused
22:58:29,Focused
22:58:29,Focused
22:58:29,Focused
22:58:29,Focused
22:58:29,Focused
22:58:30,Focused
22:58:30,Focused
22:58:30,Focused
22:58:30,Focused
22:58:30,Focused
22:58:30,Tired
22:58:30,Tired
22:58:30,Tired
22:58:30,Tired
22:58:30,Tired
22:58:30,Tired
22:58:30,Tired
22:58:30,Tired
22:58:30,Tired
22:58:30,Tired
22:58:30,Tired
22:58:30,Tired
22:58:30,Tired
22:58:30,Tired
22:58:30,Focused
22:58:30,Focused
22:58:30,Focused
22:58:30,Focused
22:58:30,Focused
22:58:30,Focused
22:58:30,Confused
22:58:30,Confused
22:58:30,Confused
22:58:30,Confused
22:58:31,Confused
22:58:31,Confused
22:58:31,Confused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Confused
22:58:31,Confused
22:58:31,Confused
22:58:31,Confused
22:58:31,Confused
22:58:31,Confused
22:58:31,Confused
22:58:31,Confused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:31,Focused
22:58:32,Focused
22:58:32,Focused
22:58:32,Focused
22:58:32,Focused
22:58:32,Focused
22:58:32,Focused
22:58:32,Focused
22:58:32,Focused
22:58:32,Focused
22:58:33,Focused
22:58:33,Focused
22:58:33,Focused
22:58:33,Focused
22:58:33,Focused
22:58:33,Focused
22:58:33,Focused
22:58:33,Tired
22:58:33,Tired
22:58:33,Tired
22:58:34,Tired
22:58:34,Tired
22:58:34,Tired
